doc_id,business_id,business_name,text,original_text,source,tags
rev_1403_7,50095022,Unknown,well maybe it rapes our arteries a bit but if you practice moderation you should be just fine,"well, maybe it rapes our arteries a bit, but if you practice moderation, you should be just fine",review,pests
rev_1406_3,50120374,Unknown,they take your order and move you to the right hand side to pick up your order,They take your order and move you to the right hand side to pick up your order,review,contamination
rev_1406_7,50120374,Unknown,surprisingly the place was pretty clean i guess people do clean after themselves here,"(**)Surprisingly, the place was pretty clean, I guess people do clean after themselves here",review,contamination
rev_1407_4,50118965,Unknown,尉looks better kempt than the white castle across the street,尉Looks better kempt than the White Castle across the street,review,contamination
rev_1411_2,50105361,Unknown,尉for those who said they havent had mcdonalds you probably just crawled out of a rock,尉For those who said they havent had Mcdonalds you probably just crawled out of a rock,review,contamination
rev_1411_4,50105361,Unknown,尉so this review is for you healthy person growing up or the person who just crawled out of a rock,"尉So this review is for you ""healthy person growing up"", or the person who just crawled out of a rock",review,contamination
rev_1417_5,50008245,Unknown,尉the food was cold,尉The food was cold,review,temperature
rev_1417_6,50008245,Unknown,尉cold,尉Cold,review,temperature
rev_1417_10,50008245,Unknown,尉you know the food is cold if the pickle is crisp,尉You know the food is cold if the pickle is crisp,review,temperature
rev_1417_19,50008245,Unknown,i can now cross off finger snap and thrown out of mcdonalds on my bucket list,I can now cross off 'finger snap' and 'thrown out of McDonald's' on my Bucket List,review,contamination
rev_1417_21,50008245,Unknown,horrible cold food,Horrible cold food,review,temperature
rev_1422_0,50121654,Unknown,located across from miamidade collegewolfson campus,Located across from Miami-Dade College-Wolfson Campus,review,contamination
rev_1422_1,50121654,Unknown,this location is a hotbed for crime,This location is a hotbed for crime,review,temperature
rev_1423_4,50105046,Unknown,尉i went in with a friend who wanted to buy a coffee but it was so horrible inside that i preferred to stand outside in the blazing heat among people smoking cigarettes and panhandling,"尉I went in with a friend who wanted to buy a coffee, but it was so horrible inside that I preferred to stand outside in the blazing heat among people smoking cigarettes and panhandling",review,contamination
rev_1428_5,41710300,Unknown,dont bother complaining to corporate its forwarded to the franchise owner and the rep for them could care less,"Don't bother complaining to corporate, it's forwarded to the franchise owner and the rep for them could care less",review,pests
rev_1431_2,50112623,Unknown,had to wait over five minutes for them to hand me the wrap i could see the employee in the back as she made the wrap and when she finished,Had to wait over five minutes for them to hand me the wrap (I could see the employee in the back as she made the wrap and when she finished),review,contamination
rev_1434_6,41633013,Unknown,尉we ordered a soda but were handed a bag with burgers and fries which we promptly returned,"尉We ordered a soda but were handed a bag with burgers and fries, which we promptly returned",review,contamination
rev_1436_10,50132634,Unknown,gotta love the two incidents of panhandling one with the guy walking straight to my table then another doing so to the patrons in line and then turning street preacher calling all sorts of armageddon on the place when the manager asked him to leave,"Gotta love the two incidents of panhandling: one with the guy walking straight to my table, then another doing so to the patrons in line and then turning street preacher calling all sorts of armageddon on the place when the manager asked him to leave",review,contamination
rev_1437_8,40962159,Unknown,we hand them our debit card,we hand them our debit card,review,contamination
rev_1437_12,40962159,Unknown,we could have very simply gone to tb or dennys across the street  aaaaaaaahhhhhhhhhhh  thats how i still feel about this situation,We could have very simply gone to TB or Denny's across the street - aaaaaaaahhhhhhhhhhh - that's how i still feel about this situation,review,contamination
rev_1438_4,50038241,Unknown,i sent a complaint to the mcdonalds corporate office because i thought that was wrong since this mcdonalds is the second closet restaurant to the arena and the nearby bus stop and i didnt think it was right to tell this to the many kids that received the same coupon i did,I sent a complaint to the McDonald's Corporate Office because I thought that was wrong since this McDonald's is the second closet restaurant to the Arena and the nearby bus stop and I didn't think it was right to tell this to the many kids that received the same coupon I did,review,pests
rev_1441_0,50168976,Unknown,wow i cant believe im giving this place its first 5 star rating,"Wow, I can't believe I'm giving this place its first 5 star rating",review,pests
rev_1441_3,50168976,Unknown,i also like the fact that theyre dine is open late at night so i can eat inside rather than have to take my food home,I also like the fact that they're dine is open late at night so I can eat inside rather than have to take my food home,review,pests
rev_1443_1,50073729,Unknown,place isnt clean and when they do start cleaning its not thorough,"Place isn't clean and when they do start cleaning, it's not thorough",review,contamination
rev_1446_9,50141224,Unknown,2 stars for the hot and fresh fries,2 stars for the hot and fresh fries,review,temperature
rev_1454_4,50164859,Unknown,on our way there we keep hearing ads for the new chipotle bbq angus burger and since that almost sounds kinda good i decided to give it a shot,"On our way there, we keep hearing ads for the new Chipotle BBQ Angus burger, and since that almost sounds kinda good, I decided to give it a shot",review,temperature
rev_1455_0,50144377,Unknown,i have never in my life wrote a corporation to complain about the business until this mcdonalds,I have never in my life wrote a corporation to complain about the business until this McDonalds,review,pests
rev_1455_3,50144377,Unknown,also more than once i have attempted to order ice cream after nine at night and they tell me the ice cream machine is broken because they are too lazy to fill it up,"Also, more than once I have attempted to order ice cream after nine at night and they tell me the 'ice cream machine is broken' because they are too lazy to fill it up",review,temperature
rev_1455_4,50144377,Unknown,it is a credit to the mcdonalds corporation that they actually responded to the complaint letter and said they would fix itthe next day still the wrong coffee order,It is a credit to the McDonald's corporation that they actually responded to the complaint letter and said they would fix it-the next day still the wrong coffee order,review,pests
rev_1457_0,50035069,Unknown,this mcdonalds is located directly across from university of miami which is the why it is such a hub for students,This McDonald's is located directly across from University of Miami which is the why it is such a hub for students,review,contamination
rev_1457_1,50035069,Unknown,尉the inside is usually kept clean but is on the small side,"尉The inside is usually kept clean, but is on the small side",review,contamination
rev_1458_0,50096572,Unknown,just went thru the drivethru paid for a medium coffee bagel with cream cheese and when i get to my destination and open the small bag that was handed to me at the window there is nothing but the bagel,"Just went thru the drive-thru PAID for a Medium coffee, Bagel WITH CREAM CHEESE and when I get to my destination and open the small bag that was handed to me at the window, there is nothing but the bagel",review,contamination
rev_1458_3,50096572,Unknown,how do you hand your customer a bag without napkins,How do you hand your customer a bag without napkins,review,contamination
rev_1458_4,50096572,Unknown,and nevermind the cream cheese i actually paid for,And nevermind the cream cheese I actually paid for,review,pests
